organization,broad_org,state,type,medical_position,medicine_type,department,year,amount
american society of pain management fl,society of pain management,florida,other,,pain,conventions,2002,4100
american society of pain management fl,society of pain management,florida,other,,pain,conventions,2003,2000
american society of pain management fl,society of pain management,florida,other,,pain,conventions,2007,10000
american society of pain management fl,society of pain management,florida,other,,pain,conventions,2008,10000
american society of pain management fl,society of pain management,florida,other,,pain,conventions,2009,16000
american society of pain management fl,society of pain management,florida,other,,pain,conventions,2010,10000
american society of pain management fl,society of pain management,florida,other,,pain,conventions,2011,45500
american society of pain management fl,society of pain management,florida,other,,pain,conventions,2012,150
american society of pain management fl,society of pain management,florida,other,,pain,lecture program,2002,750
american society of pain management fl,society of pain management,florida,other,,pain,medical ed,2002,17163.62
american society of pain management fl,society of pain management,florida,other,,pain,medical ed,2003,10699.05
american society of pain management fl,society of pain management,florida,other,,pain,medical ed,2004,13386.65
american society of pain management fl,society of pain management,florida,other,,pain,medical ed,2005,8001.97
american society of pain management fl,society of pain management,florida,other,,pain,medical ed,2006,13500
american society of pain management fl,society of pain management,florida,other,,pain,medical ed,2007,8408
american society of pain management fl,society of pain management,florida,other,,pain,medical ed,2008,3500
american society of pain management fl,society of pain management,florida,other,,pain,medical ed,2009,13500
american society of pain management fl,society of pain management,florida,other,,pain,medical ed,2010,3500
american society of pain management fl,society of pain management,florida,other,,pain,medical ed,2011,8500
american society of pain management fl,society of pain management,florida,other,,pain,medical ed,2012,3500
american society of pain management fl,society of pain management,florida,other,,pain,medical ed,2013,3500
american society of pain management fl,society of pain management,florida,other,,pain,medical ed,2014,33500
american society of pain management fl,society of pain management,florida,other,,pain,other,2006,3500
american society of pain management fl,society of pain management,florida,other,,pain,patient & professional relations,2014,12700
american society of pain management fl,society of pain management,florida,other,,pain,patient & professional relations,2015,7500
american society of pain management fl,society of pain management,florida,other,,pain,prof relations,2003,1000
american society of pain management fl,society of pain management,florida,other,,pain,pur pharma fund,2008,25000
american society of pain management fl,society of pain management,florida,other,,pain,pur pharma fund,2010,50000
american society of pain management fl,society of pain management,florida,other,,pain,st. gov leg  aff,2003,95
american society of pain management fl,society of pain management,florida,other,,pain,st. gov leg  aff,2004,275
american society of pain management fl,society of pain management,florida,other,,pain,st. gov leg  aff,2006,1000
american society of pain management fl,society of pain management,florida,other,,pain,st. gov leg  aff,2007,10000
american society of pain management fl,society of pain management,florida,other,,pain,st. gov leg  aff,2008,5000
american society of pain management fl,society of pain management,florida,other,,pain,st. gov leg  aff,2009,9500
american society of pain management fl,society of pain management,florida,other,,pain,st. gov leg  aff,2010,9500
american society of pain management fl,society of pain management,florida,other,,pain,st. gov leg  aff,2011,12700
american society of pain management fl,society of pain management,florida,other,,pain,st. gov leg  aff,2012,12700
american society of pain management fl,society of pain management,florida,other,,pain,st. gov leg  aff,2013,77700
american society of pain management fl,society of pain management,florida,other,,pain,st. gov leg  aff,2014,7500
american society of pain management northern california chapter,society of pain management,california,other,,pain,lecture program,2003,1500
american society of pain management nurses long island,society of pain management,none,medical,nurse,pain,lecture programs,2003,750
american society of pain management nursing garden state chapter,society of pain management,none,medical,nurse,pain,conventions,2008,750
american society of pain mgmt nurses ct chapter,society of pain mgmt nurses,connecticut,medical,nurse,pain,lecture programs,2003,1500
american society of pain mgmt nurses ct chapter,society of pain mgmt nurses,connecticut,medical,nurse,pain,medical ed,2007,6500
american society of pain mngmt nurses long island cha,NA,NA,NA,,NA,conventions,2004,250
american society of pain mngmt nurses long island cha,NA,NA,NA,,NA,conventions,2007,200
american society of pain mngmt nurses long island cha,NA,NA,NA,,NA,conventions,2009,200
american society of pain mngmt nurses long island cha,NA,NA,NA,,NA,conventions,2010,300
american society of pain mngmt nurses long island cha,NA,NA,NA,,NA,conventions,2011,300
american society of pain mngmt nurses long island cha,NA,NA,NA,,NA,lecture program,2002,3000
american society of pain mngmt nurses long island cha,NA,NA,NA,,NA,lecture program,2003,1000
american society of pain mngmt nurses long island cha,NA,NA,NA,,NA,medical ed,2002,2000
american society of pain mngmt nurses long island cha,NA,NA,NA,,NA,medical ed,2003,1500
american society of pain mngmt nurses st louis chapter,society of pain mgmt nurses,none,medical,nurse,pain,medical ed,2002,1000
american society of pain mngmt nurses st louis chapter,society of pain mgmt nurses,none,medical,nurse,pain,medical ed,2012,2500
american society of pain mngmt nurses st louis chapter,society of pain mgmt nurses,none,medical,nurse,pain,medical ed,2014,2500
american society of pediatric hematology / oncology,society of pediatric hematology / oncology,none,other,,oncology,st. gov leg  aff,2011,4000
american society of pediatric hematology / oncology,society of pediatric hematology / oncology,none,other,,oncology,st. gov leg  aff,2012,1500
american society of pediatric hematology / oncology,society of pediatric hematology / oncology,none,other,,oncology,st. gov leg  aff,2013,1675
american society of regional anesthesia,society of regional anesthesia,none,other,,anesthesia,analgesic,2002,195
