organization,broad_org,state,type,position,subtype,department,year,amount
national association of chain drug stores,association of chain drug stores,national,medical,pharmacist,general,pur pharma fund,2002,25000
national association of chain drug stores,association of chain drug stores,national,medical,pharmacist,general,rhodes sale dst,2010,21920
national association of chain drug stores,association of chain drug stores,national,medical,pharmacist,general,rhodes sale dst,2011,2880
national association of chain drug stores foundation inc,association of chain drug stores,national,medical,pharmacist,general,medical ed,2003,12500
naddi national assoc of drug diversion investigators in,association of drug diversion investigators,national,law enforcement,investigator,narcotics,corp.security,2005,13774.67
naddi national assoc of drug diversion investigators in,association of drug diversion investigators,national,law enforcement,investigator,narcotics,corp.security,2006,490000
naddi national assoc of drug diversion investigators in,association of drug diversion investigators,national,law enforcement,investigator,narcotics,corp.security,2007,290149
naddi national assoc of drug diversion investigators in,association of drug diversion investigators,national,law enforcement,investigator,narcotics,corp.security,2008,350000
naddi national assoc of drug diversion investigators in,association of drug diversion investigators,national,law enforcement,investigator,narcotics,corp.security,2009,375000
naddi national assoc of drug diversion investigators in,association of drug diversion investigators,national,law enforcement,investigator,narcotics,corp.security,2010,350000
naddi national assoc of drug diversion investigators in,association of drug diversion investigators,national,law enforcement,investigator,narcotics,corp.security,2011,450000
naddi national assoc of drug diversion investigators in,association of drug diversion investigators,national,law enforcement,investigator,narcotics,corp.security,2012,427211.25
naddi national assoc of drug diversion investigators in,association of drug diversion investigators,national,law enforcement,investigator,narcotics,corp.security,2013,425000
naddi national assoc of drug diversion investigators in,association of drug diversion investigators,national,law enforcement,investigator,narcotics,corp.security,2014,200000
naddi national assoc of drug diversion investigators in,association of drug diversion investigators,national,law enforcement,investigator,narcotics,dea compliance,2004,50
naddi national assoc of drug diversion investigators in,association of drug diversion investigators,national,law enforcement,investigator,narcotics,direct mfg o_h,2002,35
national association of managed care physicians,association of managed care physicians,national,medical,physician,managed care,managedcare ff,2013,3800
national association of managed care physicians,association of managed care physicians,national,medical,physician,managed care,managedcare ff,2014,3800
national association of managed care physicians,association of managed care physicians,national,medical,physician,managed care,medical ed,2002,2500
national association of managed care physicians,association of managed care physicians,national,medical,physician,managed care,medical ed,2009,12500
national association of managed care physicians,association of managed care physicians,national,medical,physician,managed care,medical ed,2010,57000
national association of managed care physicians,association of managed care physicians,national,medical,physician,managed care,medical ed,2011,25000
national association of managed care physicians,association of managed care physicians,national,medical,physician,managed care,medical ed,2012,57000
national association of managed care physicians,association of managed care physicians,national,medical,physician,managed care,medical ed,2013,25000
national association of managed care physicians,association of managed care physicians,national,medical,physician,managed care,medical ed,2014,67000
national association of managed care physicians,association of managed care physicians,national,medical,physician,managed care,par against,2002,3385
national association of managed care physicians,association of managed care physicians,national,medical,physician,managed care,prof relations,2002,5000
national association of managed care physicians,association of managed care physicians,national,medical,physician,managed care,prof relations,2003,5000
national association of managed care physicians,association of managed care physicians,national,medical,physician,managed care,professional rels,2005,5000
national association of managed care physicians,association of managed care physicians,national,medical,physician,managed care,st. gov leg  aff,2006,2500
national association of managed care physicians,association of managed care physicians,national,medical,physician,managed care,st. gov leg  aff,2007,2500
national association of managed care physicians,association of managed care physicians,national,medical,physician,managed care,st. gov leg  aff,2008,2500
naddi national assoc of drug diversion investigators in,association of drug diversion investigators,national,law enforcement,investigator,narcotics,general counsel,2003,19285
national childrens cancer society,childrens cancer society,national,medical,general,oncology,pur pharma fund,2004,250
national coalition for cancer survivorship,coalition for cancer survivorship,national,medical,patient advocacy,oncology,pur pharma fund,2005,1000
